sr_no,brand,stage,category,ch_pillar,sub_category,products,website,source,financial_signal,filter_profitable,filter_bootstrapped,filter_founder_led,filter_independent,revenue_fy_inr_cr,pat_or_margin,promoter_name,promoter_contact,valuation_note,priority,owner,next_action,last_update,rejection_reason,comments
291,Vaishnav Enterprises,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, utensils, serving ware, kitchen accessories",https://www.vaishnaventerprises.org/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company is a retailer of established brands
292,Vardhman Creations,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accessories, mirrors, tabletop décor, gifting products",https://vardhmancreations.com/,Collated Sheet,,,,,,,,,,,,,,,,
293,Vardhman Home Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, small kitchen appliances",https://vardhmanappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Sub Subsidiary of Vardhaman Industries Limited which is a listed company
294,VarEesha,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Brass décor, wooden décor, wall art, sculptures, table décor, home accessories",www.VarEesha.com,Collated Sheet,,,,,,,,,,,,,,,,"Website is decent, products are good (ceramic, wooden, copper)"
295,Varmora,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bath Linen,"Designer tiles, sanitaryware, bath fittings, wash basins, home surface solutions",-,Collated Sheet,,,,,,,,,,,,,,,,The company is funded by Golden Gujarat Growth Fund I
296,Varmora Homeware,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Dinnerware, serveware, kitchenware, storage containers, dining accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Already funded
297,Vedant Appliances,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, gas stoves, electric kettles, kitchen appliances",https://www.vedantappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the products are quite basic
298,Veer,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Stainless steel utensils, cookware, serving ware, storage containers",https://www.stainlesssteeldinnerset.in/dinner-set.html,Collated Sheet,However the annual turnover is INR 5-25cr,,,,,,,,,,,,,,,The company sells stainless steel products. However the annual turnover is INR 5-25cr
299,Ventair,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Exhaust fans, ventilation fans, air circulators, industrial ventilation equipment",https://www.ventairindia.com/collections/water-purifier,Collated Sheet,,,,,,,,,,,,,,,,Products are good. However the company has a low scale
300,Victorinox,Screened-Out,Cookware & Kitchenware,Kitchen,Kitchen Knives & Cutlery,"Chef knives, knife sets, peelers, kitchen scissors, cutting tools",-,Collated Sheet,,,,,,,,,,,,,,,,(MNC– switzerland)
301,Vinay Trading,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
302,Vision Blinds,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Roller blinds, zebra blinds, Roman blinds, Venetian blinds, window shades",http://visionblinds.in/,Collated Sheet,,,,,,,,,,,,,,,,
303,Vl Appliance India,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",https://www.vijayalakshmimarketing.com/,Collated Sheet,However the company made a revenue of INR 74 Cr in FY23,,,,,,,,,,,,,,,Products are decent. However the company made a revenue of INR 74 Cr in FY23
304,Volpak System,Screened-Out,Home Appliances,Small Appliances,Heating Appliances,"Water heaters, geysers, heating systems, plumbing accessories",https://www.volpaksystems.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers maintenance services
305,Voltriq India,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Smart kitchen appliances, portable appliances, home electrical products",https://voltriq.com/,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. However the company offers large appliances
306,Wall Empire,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wallpapers, wall murals, wall panels, decorative wall coverings",https://www.wall-empire.com/,Collated Sheet,5-25 cr,,,,,,,,,,,,,,,5-25 cr
307,Wama Electro Appliances,Screened-Out,Home Appliances,Small Appliances,Fans,"Mixer grinders, induction cooktops, electric kettles, fans, home appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has low scale
308,WARMEO,To-Contact,Home Appliances,Small Appliances,Fans,"Room heaters, convection heaters, fan heaters, heating appliances",-,Collated Sheet,,,,,,,,,,,,,,,,Products are decent. Company has 13k followers on instagram
309,Warmex Home Appliances,Screened-Out,Home Appliances,Small Appliances,Fans,"Room heaters, electric kettles, irons, fans, kitchen appliances",https://www.warmexhomeappliances.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has a low scale
310,Wellberg,Screened-Out,Cookware & Kitchenware,Kitchen,Non-stick Cookware,"Non-stick cookware, stainless steel cookware, fry pans, casseroles, cookware sets",-,Collated Sheet,,,,,,,,,,,,,,,,"Limited product range, poor website"
311,Werner Finley,Screened-Out,Home Appliances,Small Appliances,Heating Appliances,"Water heaters, geysers, kitchen equipment, food service appliances",https://wernerfinley.com/,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
312,The Earth Store,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Decorative Accessories,"Bamboo home products, planters, storage baskets, handcrafted décor, eco-friendly home accessories",https://www.earthstore.in/,CH Master File - Mainsheet Shortlist_New,"70-80% growth every year in scale, Net Revenues: FY24: 6 Cr, FY25: 14 Cr, FY26P: 25-30 Crs, GM should be 40-50%, NP: 10-12%, Inventory: 70-80 lakhs inventory, should be more - they run out",,,,,,,,,,,,,,Product fit,"70-80% growth every year in scale, Net Revenues: FY24: 6 Cr, FY25: 14 Cr, FY26P: 25-30 Crs, GM should be 40-50%, NP: 10-12%, Inventory: 70-80 lakhs inventory, should be more - they run out"
313,Wingz,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, tower coolers, personal coolers, desert coolers",-,Collated Sheet,,,,,,,,,,,,,,,,Not relevant to our product category
314,Wonderchef,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Air fryers, mixer grinders, cookware, coffee makers, induction cooktops, ovens, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,"The company is funded by sixth sense ventures, godrej family investment office, malpani group, ruchi jain, amicus capital, labruyere eberle sas, sanjeev kapoor, capvent india advisors,"
315,Xtreme coolers,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Air coolers, industrial coolers, commercial cooling solutions, cooling accessories",https://www.xtremecooler.com/?srsltid=AfmBOooIXcK5v3ue_L2OOiENGCSXeBMwjz16d26KLrKXPYYQRrZxpt6F,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company offers commercial appliances
316,Yash Fans,Screened-Out,Home Appliances,Small Appliances,Air Cooling & Treatment,"Ceiling fans, wall fans, pedestal fans, exhaust fans",https://r.search.yahoo.com/_ylt=Awrx.tDJOTBoEQIAv7O7HAx.;_ylu=Y29sbwNzZzMEcG9zAzEEdnRpZAMEc2VjA3Ny/RV=2/RE=1749200586/RO=10/RU=https%3a%2f%2fwww.yashfans.com%2f%3fref%3dindustryplex/RK=2/RS=MBkdn98yGtlcc9i07qSEat1PNwE-,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the company has high scale
317,YouBee,In-Conversation,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Kitchen tools, cookware, storage containers, serving accessories",https://www.amazon.in/YouBee%C2%AE-Kitchen-Container-BPA-Free-Stackable/dp/B09B9VVW7V?th=1,Collated Sheet,,,,,,,,,,,,,,,,"Can explore but didn't find any details of raj enterprise;
youbee brand is available on meesho, amazon, etc.
Didn't find much details about raj enterprise"
318,Zeel,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, pillow covers, curtains, home linen",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic and the scale is not available
319,Zen Linen,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, duvet covers, comforters, quilts, pillow covers",https://zenclassicgroup.com/,Collated Sheet,,,,,,,,,,,,,,,,
320,Zigma Electronics,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, home electrical appliances",https://www.zigmaelectricals.com/contact,Collated Sheet,,,,,,,,,,,,,,,,Skip - Since the scale is quite low
321,Zimmer Aufraumen,Screened-Out,Home Storage & Organization,Decor & Home Improvement,Wardrobe & Closet Organization,"Storage organizers, wardrobe organizers, laundry organizers, utility storage products",-,Collated Sheet,,,,,,,,,,,,,,,,Products are not relevant
322,Nova Home Appliances,To-Contact,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, trimmers, irons, electric kettles, induction cooktops, home appliances",https://www.novaindia.co.in/,Collated Sheet,,,,,,,,,,,,,,,,Website and the products are good. The company offers both home and kitchen appliances. It also offers personal grooming appliances
323,Zynna,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, mirrors, decorative accents, tabletop décor, home accessories",https://zynna.in/,Collated Sheet,,,,,,,,,,,,,,,,
324,"The Artment
———
The Artment Your Artistic Apa",Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wall art, mirrors, sculptures, lighting, decorative accessories, furniture accents",https://theartment.com/,CH Master File - Mainsheet Shortlist_New,,,,,,,,,,,,,,,Product fit,"BPV is already in touch, NDA and Deck shared.
———
Bpv has spoken
Been on shark tank
The website is good and the products are decent. Rejected"
325,Dimazo,Rejected-CH,Soft Furnishings & Home Decor,Decor & Home Improvement,Home Fragrance,"Decorative trays, candle holders, mirrors, tabletop décor, gifting products",https://dimazo.in/,Collated Sheet,,,,,,,,,,,,,,,Product fit,"Website is decent, products are okay - mostly kitchenware (storage) but also have juicer & chopper. Products are mass"
326,La Verne,Rejected-Promoter,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative objects, mirrors, sculptures, home accents",https://www.flipkart.com/home-furnishing/la-verne~brand/pr?sid=jra,NDA Tracking,,,,,,,,,,,,,,,Not interested in the model,"Founder did not reply, NDA was set"
327,Glasafe,Rejected-CH,Home Storage & Organization,Kitchen,Kitchen Storage,"Borosilicate glass containers, lunch boxes, storage jars, glass bottles",https://www.glasafe.com/,Collated Sheet,,,,,,,,,,,,,,,Low profitability,"Good website, 3k followers on instagram"
328,Address Home,Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Bedding, cushions, throws, curtains, rugs, home accessories, luxury textiles",https://addresshome.com/,Collated Sheet,,,,,,,,,,,,,,,Product fit,"Premium online luxury home décor brand founded in 2008 by Rajat Singhi (Wharton alum), backed by family furnishing legacy"
329,Homefil (farocean),Rejected-CH,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, pillow covers, blankets, curtains",,NDA Tracking,,,,,,,,,,,,,,,Product fit,Shared NDA
330,Shark Spin,Rejected-CH,General Merchandise,Other,Cleaning Products,"Spin mops, buckets, floor cleaning systems, cleaning accessories",https://www.sharkninja.com/,NDA Tracking,,,,,,,,,,,,,,,Product fit,Shared NDA
331,Ahar,Screened-Out,Cookware & Kitchenware,Kitchen,Serveware & Tableware,"Cookware, serveware, kitchen utensils, dining accessories",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
332,AKFD Studio,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wall décor, decorative accessories, mirrors, home styling products",https://akfdstudio.com/,Collated Sheet,,,,,,,,,,,,,,,,
333,Anisa Carpets,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Handmade carpets, rugs, runners, floor coverings",https://anisacarpet.com/,Collated Sheet,,,,,,,,,,,,,,,,Relatively old company. The growth has stagnated and it has been included in the list for primary research.
334,D Viswa,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serving ware, storage containers",-,Collated Sheet,,,,,,,,,,,,,,,,The products are quite basic
335,Denzo,Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Mixer grinders, induction cooktops, electric kettles, gas stoves, kitchen appliances",-,Collated Sheet,,,,,,,,,,,,,,,,The company is headquartered in Spain
336,F & F,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Bedding & Bed Linen,"Bedsheets, comforters, blankets, quilts, pillow covers, curtains",https://www.fandf.online/,Collated Sheet,,,,,,,,,,,,,,,,
337,Floating Walls,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Wall Decor & Art,"Wallpapers, wall murals, wall panels, wall coverings, decorative wall solutions",https://www.floatingwalls.in/,Collated Sheet,,,,,,,,,,,,,,,,One-stop-shop for top of the line furniture and furnishing products. They have got 12 store
338,Homeflooring and Decor,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Wooden flooring, vinyl flooring, SPC flooring, laminate flooring, flooring accessories",https://www.hfdrugs.com/Default.aspx,Collated Sheet,,,,,,,,,,,,,,,,
339,Idus Furniture Store,Screened-Out,Soft Furnishings & Home Decor,Decor & Home Improvement,Furniture,"Sofas, beds, dining tables, wardrobes, TV units, storage furniture",https://www.idus.in/,Collated Sheet,,,,,,,,,,,,,,,,"Vast collection of products. Looks like the core focus is on designer furniture. The collections include range of imported furniture and the pricing is on the pricier side. their focuus catgories have been divided into living, bedroom, dining and outdoor with also a separate office collection."
340,Jalore,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Rugs & Carpets,"Rugs, carpets, runners, floor coverings, home textiles",-,Collated Sheet,,,,,,,,,,,,,,,,Website not available
341,Ventura Interiors,Screened-Out,Soft Furnishings & Home Decor,Soft Furnishings,Curtains & Window Furnishings,"Curtains, blinds, upholstery, wallpaper, customized home furnishings",https://www.venturainteriors.com/,Collated Sheet,,,,,,,,,,,,,,,,Range of european products. They sell several international brands.
342,Hamilton Housewares,Screened-Out,Cookware & Kitchenware,Kitchen,Stainless Steel Cookware,"Stainless steel cookware, kitchen utensils, serveware, storage containers, houseware",https://www.hamiltonindia.in/,na,,,,,,,,,,,,,,,,Established
343,La Opala RG (adjacent),Screened-Out,Cookware & Kitchenware,Kitchen,Drinkware,"Opal glass dinner sets, plates, bowls, serving dishes, mugs",https://laopala.in/,na,,,,,,,,,,,,,,,,Listed
344,Bajaj Electricals (cookware portfolio),Screened-Out,Home Appliances,Small Appliances,Small Kitchen Appliances,"Induction cooktops, electric kettles, mixer grinders, cookware, kitchen appliances",https://www.bajajelectricals.com/,na,,,,,,,,,,,,,,,,Established
